latitud,longitud,OBJECTID
-75.5761946383665,6.21367728331812,259314
-75.5579739380035,6.28216444272581,259315
-75.5816886054037,6.19668520985125,259317
-75.5781491401565,6.27673036538117,259318
-75.5953968819402,6.23285109049665,259319
-75.5769068907564,6.24684304957656,259320
-75.5688661868717,6.24893613094072,259321
-75.6002527239427,6.26420802327187,259322
-75.5751230045493,6.24835293627916,259323
-75.5703848178781,6.2707333260419,259324
-75.5892832437514,6.20717231188975,259325
-75.5561435425339,6.24480638629566,259326
-75.573845202134,6.2704200263233,259327
-75.5785174421123,6.24002034767517,259328
-75.5485187746298,6.26569873368308,259329
-75.5893571514028,6.24452862011549,259330
-75.5932797652551,6.27839918166993,259332
-75.5887271337128,6.249241898589,259333
-75.6014101232382,6.23388331116562,259334
-75.559289867134,6.26589242392042,259335
-75.6003696762338,6.21652106686574,259336
-75.5873241295462,6.23298457124669,259337
-75.5766973755842,6.28660187111305,259338
-75.5699107929763,6.2166917448575,259339
-75.6044795506623,6.25078777644631,259340
-75.5716405863572,6.25214339067088,259341
-75.5827089011715,6.2918998704683,259342
-75.5791946664182,6.20739977855304,259343
-75.5592440280177,6.2521741413189,259344
-75.5973350816497,6.24508200911999,259345
-75.5699357357925,6.26487664211393,259346
-75.5821058410449,6.30384190084796,259347
-75.5609678656997,6.23016341227553,259348
-75.5764033318689,6.19350934377716,259349
-75.585135234821,6.24636627476516,259351
-75.5679369957745,6.26309532301843,259352
-75.582738767082,6.22951908168657,259353
-75.5485014852196,6.28411688500691,259354
-75.578914540907,6.30594535132647,259355
-75.5820106549321,6.24435352450811,259356
-75.5598990380004,6.23141939590898,259357
-75.5419351996993,6.29331522929388,259358
-75.5651937403963,6.277286340092,259360
-75.5589192023114,6.25560038590058,259362
-75.5599931099844,6.22844716109586,259364
-75.6001240726801,6.2426396373714,259366
-75.5959548065945,6.22636940173804,259367
-75.6022909773116,6.25086496092592,259368
-75.570533384356,6.27404340257481,259369
-75.5603988063503,6.25209278816351,259370
-75.5695959119183,6.241135102393,259371
-75.5732242668422,6.26035202541271,259372
-75.5868226420645,6.23936372958299,259373
-75.5569372793817,6.19769487649518,259374
-75.5593127990769,6.19893480755601,259375
-75.5753945904661,6.2399744031021,259376
-75.5543927170754,6.27108646154801,259377
-75.5962552344832,6.2287108659948,259379
-75.5668039060174,6.24620971717787,259380
-75.5677970122782,6.25629083240077,259381
-75.5601258754896,6.24226416636523,259382
-75.5728047633999,6.27637039065602,259383
-75.5975719158389,6.25018615412007,259384
-75.5699357357925,6.26487664211393,259385
-75.574348837698,6.21224341052061,259386
-75.5756415564474,6.19853776030366,259387
-75.5757802576062,6.21793218977503,259388
-75.5732256649389,6.26305729597329,259389
-75.5870632369534,6.26544493636254,259390
-75.5834099313469,6.21223015194715,259391
-75.5500499628849,6.28174561522926,259393
-75.6053447385308,6.24798227180569,259394
-75.5675077688305,6.26440791132854,259395
-75.5435815307305,6.24326697882487,259396
-75.5742657837432,6.25609937030803,259397
-75.5519304024048,6.26333085786443,259398
-75.5718009634679,6.28084588999726,259399
-75.5358000450775,6.26638905874384,259400
-75.5832416459905,6.22562714160717,259401
-75.6004665290771,6.22876619773581,259402
-75.5694214608806,6.22004576407918,259403
-75.5686887656651,6.27577141473947,259405
-75.5433366815489,6.23714584667824,259406
-75.5621345000668,6.23400046681296,259407
-75.6076729998211,6.22039915854003,259409
-75.575115152747,6.24876870769895,259410
-75.5574870939428,6.31069869436824,259411
-75.5579739380035,6.28216444272581,259412
-75.6067524549656,6.23187791864933,259413
-75.5699161943068,6.21469651282752,259414
-75.5842490124034,6.2622672311045,259415
-75.5683378353658,6.25924444146535,259416
-75.5699012790303,6.30840578772639,259417
-75.5977626954662,6.25844289499162,259418
-75.5798257058104,6.22161906609112,259419
-75.5827205045017,6.2317845339674,259420
-75.5814238946977,6.22755155639396,259421
-75.570338271442,6.28641691666067,259422
-75.5694226824382,6.28841459823042,259424
-75.6156421448669,6.25624211242798,259425
-75.6003512141208,6.20657618820102,259426
-75.5638260225384,6.28926957400939,259427
-75.5749864492981,6.26476130361819,259428
-75.5799565327293,6.27272900434042,259430
-75.5544838094926,6.23796461803479,259431
-75.5779678845525,6.29774621073854,259433
-75.5485018849439,6.24231962276318,259434
-75.5591287799562,6.2078882169726,259435
-75.5819198051902,6.21461191427693,259436
-75.5929841312731,6.29161953049443,259437
-75.5677241334511,6.24497767762666,259438
-75.565075908503,6.22819739553876,259439
-75.5506922854503,6.27394280225362,259440
-75.5958770194106,6.26316656487433,259441
-75.6189698287728,6.25463800228796,259442
-75.5871919966654,6.22526826351051,259443
-75.6512712433761,6.17830292419245,259444
-75.570338271442,6.28641691666067,259449
-75.5951338718975,6.29514311611992,259450
-75.5692174826057,6.27574971353517,259451
-75.5842107995622,6.28443790313575,259452
-75.6015566342681,6.22054471861977,259453
-75.5750572436615,6.23477125695479,259454
-75.5769668955325,6.25545717072491,259455
-75.5498079930844,6.23815724798027,259456
-75.5496198988279,6.30348802646904,259457
-75.5461703631841,6.24391075854335,259458
-75.542408358123,6.26828336030021,259460
-75.5694226824382,6.28841459823042,259462
-75.5738179896924,6.25873458500781,259463
-75.5646563498346,6.2738092845277,259464
-75.5550087774627,6.23834640721932,259465
-75.5495577896972,6.2924177869434,259466
-75.586292224187,6.22101032927383,259467
-75.5597303011004,6.28475636588381,259468
-75.5903345701395,6.27254942382365,259469
-75.6085524844966,6.25035098119654,259470
-75.5736502269465,6.27547265851062,259471
-75.5756011697145,6.23835886675621,259472
-75.5892832437514,6.20717231188975,259473
-75.570330434508,6.23633867336766,259474
-75.5648154523748,6.27293109320724,259475
-75.588773807359,6.26043553664403,259476
-75.5729725926146,6.25631012508888,259477
-75.6001240726801,6.2426396373714,259479
-75.5762423187019,6.30904747244336,259480
-75.5511188457806,6.26597011246018,259481
-75.5769363213883,6.19035059126005,259482
-75.558930084769,6.23597885707098,259483
-75.5654692036491,6.26924854737904,259484
-75.5604531544971,6.24598875291858,259485
-75.5957242317153,6.26756738478271,259486
-75.5634591222513,6.25133846840625,259487
-75.5652784152279,6.30189838987021,259489
-75.5960577713197,6.26265549639408,259490
-75.5985267686044,6.27856693566528,259491
-75.5695682319274,6.25749401596424,259492
