latitud,longitud,OBJECTID,Y,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_,CBML,TIPO_GEOCO,GRAVEDAD,BARRIO,COMUNA,DISENO
-75.5439233865758,6.27500193919537,259072,1185882.26,1519979,2016-01-21T00:00:00.000Z,06:30 PM,JUEVES,2016,Atropello,CR 31 A CL 84,CR  031 A   084  000 00000,312,Malla vial,HERIDO,Oriente,Manrique,Tramo de via
-75.5513721560945,6.26327596820364,259074,1184585.18,1519833,2016-01-21T00:00:00.000Z,04:00 PM,JUEVES,2016,Caída de Ocupante,CL 68 CR 40,CL  068   040  000 00000,308,Malla vial,HERIDO,Manrique Oriental,Manrique,Tramo de via
-75.5561515385837,6.290929152477,259075,1187643.99,1519891,2016-01-21T00:00:00.000Z,02:00 PM,JUEVES,2016,Otro,CR 49 CL 98,CR  049   098  000 00000,209,Malla vial aproximada: CR 49-99,HERIDO,Moscú No. 1,Santa Cruz,Tramo de via
-75.5753273951643,6.27734472875996,259076,1186141.37,1519834,2016-01-21T00:00:00.000Z,11:20 AM,JUEVES,2016,Otro,CL 80 CR 67,CL  080   067  000 00000,709,Malla vial,HERIDO,Córdoba,Robledo,Tramo de via
-75.610755678897,6.25428855233297,259077,1183591.25,1519798,2016-01-21T00:00:00.000Z,08:42 AM,JUEVES,2016,Atropello,CL 44 CR 94,CL  044   094  000 00000,1208,Malla vial,HERIDO,Campo Alegre,La América,Tramo de via
-75.5882538157059,6.24090651495501,259078,1182110.85,1519896,2016-01-21T00:00:00.000Z,07:55 AM,JUEVES,2016,Choque,CR 66 B CL 34 A,CR  066 B   034 A  000 00000,1105,Malla vial,HERIDO,Los Conquistadores,Laureles Estadio,Tramo de via
-75.5770824337412,6.2040310808449,259079,1178031.88,1519854,2016-01-21T00:00:00.000Z,03:20 PM,JUEVES,2016,Caída de Ocupante,CR 48 CL 2 Sur,CR  048  S 002  000 00000,1422,Malla vial,HERIDO,La Aguacatala,El Poblado,Interseccion
-75.5642803086421,6.28571477107181,259080,1187067.2,1519917,2016-01-21T00:00:00.000Z,06:00 AM,JUEVES,2016,Otro,CR 55 CL 94,CR  055   094  000 00000,403,Malla vial,HERIDO,Palermo,Aranjuez,Tramo de via
-75.5790316006369,6.30120108975575,259081,1188780.22,1519856,2016-01-21T00:00:00.000Z,08:00 AM,JUEVES,2016,Choque,CR 80 CL 101 B,CR  080   101 B  000 00000,603,Malla vial,HERIDO,Doce de Octubre No.2,Doce de Octubre,Tramo de via
-75.5577345348387,6.28715179624787,259082,1187226.16,1519808,2016-01-21T00:00:00.000Z,06:30 AM,JUEVES,2016,Choque,CR 50 CL 95,CR  050   095  000 00000,401,Malla vial,HERIDO,Berlin,Aranjuez,Interseccion
-75.564683192629,6.24928194392531,259083,1183037.23,1519915,2016-01-21T00:00:00.000Z,06:30 AM,JUEVES,2016,Choque,CR 46 CL 52,CR  046   052  000 00000,1019,Malla vial cruce invertido,HERIDO,La Candelaria,La Candelaria,Tramo de via
-75.5604624527235,6.30040099823622,259084,1188691.7,1519796,2016-01-21T00:00:00.000Z,10:00 AM,JUEVES,2016,Choque,CL 111 B CR 64,CL  111 B   064  000 00000,506,Malla vial,HERIDO,Plaza de Ferias,Castilla,Tramo de via
-75.5496092138157,6.27023174901247,259085,1185354.59,1519902,2016-01-21T00:00:00.000Z,05:40 PM,JUEVES,2016,Otro,CR 40 CL 78,CR  040   078  000 00000,304,Malla vial,HERIDO,Santa Inés,Manrique,Tramo de via
-75.5713042523352,6.23868828087068,259086,1181865.43,1519852,2016-01-21T00:00:00.000Z,04:00 PM,JUEVES,2016,Atropello,CR 48 CL 38,CR  048   038  000 00000,1013,Malla vial,HERIDO,Barrio Colón,La Candelaria,Interseccion
-75.5479066438637,6.294637172071,259087,1188054.17,1519906,2016-01-21T00:00:00.000Z,11:30 AM,JUEVES,2016,Atropello,CR 42 B CL 107 A,CR  042 B   107 A  000 00000,101,Malla vial,HERIDO,Santo Domingo Savio No. 1,Popular,Tramo de via
-75.5618041975301,6.23675355966038,259088,1181651.42,1519809,2016-01-21T00:00:00.000Z,12:00 AM,JUEVES,2016,Choque,CR 36 CL 39,CR  036   039  000 00000,912,Malla vial,HERIDO,El Salvador,Buenos Aires,Interseccion
-75.5612654870962,6.28986650496028,259089,1187526.44,1519844,2016-01-21T00:00:00.000Z,10:30 PM,JUEVES,2016,Caída de Ocupante,CR 51 A CL 97,CR  051 A   097  000 00000,211,Malla vial,HERIDO,La Rosa,Santa Cruz,Tramo de via
